disease,causal_agent
pandemic influenza a/h1n1 (2009),pandemic influenza a/h1n1 virus
pandemic h1n1 2009,pandemic h1n1 2009 virus
pandemic influenza h1n1 (2009),pandemic influenza h1n1 (2009)
pandemic a/h1n1 virus (2009),pandemic a/h1n1 virus (2009)
infection with marteilia refringens,marteilia refringens type m
classical swine fever,classical swine fever
rabies,european bat lyssavirus
contagious equine metritis,-
acarapisosis of honey bees,acarapis woodi
pandemic influenza a h1n1,influenza a h1n1 virus
newcastle disease,paramyxovirus (pigeon type)
equine rhinopneumonitis,equid herpesvirus - 1
west nile fever,west nile fever virus
infection with batrachochytrium dendrobatidis,batrachochytrium dendrobatidis
reassortment of swine h1n1 virus with pandemic h1n1 virus,a/swine/hong kong/201/2010
pullorum disease,salmonella pullorum
european foulbrood of honey bees,m.plutonious
epizootic haemorrhagic disease,serotype 6
pandemic influenza a/h1n1 (2009),pandemic a/h1n1 influenza virus (2009)
pandemic influenza a/h1n1,pandemic influenza a/h1n1 virus
mycobacterium tuberculosis,mycobacterium tuberculosis
