id,preferred_label,synonyms,class_desc
mh82,"cowdriosis (sheep, goat)",cowdriosis,disease specific
ag42,coxiella burnetii,NA,pathogen
ma382,crayfish plague,NA,disease group
mh346,crayfish plague (crustacean),crayfish plague,disease specific
mh346,crayfish plague (crustacean),aphanomycosis of crayfish,disease specific
crustacé,crustacé,NA,NA
crustacé,crustacean,NA,NA
ag431,cryptobia salmositica,NA,pathogen
ag419,cryptocaryon irritans,NA,pathogen
mh83,cryptocaryoniasis (fish),marine ich,disease specific
mh83,cryptocaryoniasis (fish),cryptocaryoniasis,disease specific
mh83,cryptocaryoniasis (fish),salwater ich,disease specific
mh83,cryptocaryoniasis (fish),white spot disease,disease specific
ma17,cryptosporidiosis,NA,disease group
mh85,cryptosporidiosis (cattle),cryptosporidiosis,disease specific
mh84,cryptosporidiosis (fish),cryptosporidiosis,disease specific
mh526,cryptosporidiosis (poultry),cryptosporidiosis,disease specific
mh87,cryptosporidiosis (rabbit),cryptosporidiosis,disease specific
mh88,"cryptosporidiosis (sheep, goat)",cryptosporidiosis,disease specific
ag518,cryptosporidium baileyi,NA,pathogen
ag25,cryptosporidium bovis,NA,pathogen
ag517,cryptosporidium meleagridis,NA,pathogen
ag420,cryptosporidium molnari,NA,pathogen
ag24,cryptosporidium parvum,NA,pathogen
ag703,cryptosporidium spp.,NA,pathogen
mh86,cryptospridiosis (equidae),cryptospridiosis,disease specific
mh408,cutaneous staphyloccoci (rabbit),cutaneous staphyloccoci,disease specific
ag519,cyathostoma bronchialis,NA,pathogen
ag348,cyprinid herpesvirus 1,cyhv-1,pathogen
ag348,cyprinid herpesvirus 1,carp pox herpesvirus,pathogen
ag348,cyprinid herpesvirus 1,hv de cyprinidé,pathogen
ag336,"cyprinid herpesvirus 3 (cyhv-3), koi herpesvirus (khv)",NA,pathogen
ma154,cysticercosis,NA,disease group
mh90,cysticercosis (rabbit),cysticercosis,disease specific
ag26,cysticercus bovis,NA,pathogen
ag146,cysticercus pisiformis,NA,pathogen
ag456,cystidicola spp.,NA,pathogen
ma339,dactylogyrosis,NA,disease group
mh94,dactylogyrosis (fish),gillworm disease,disease specific
mh94,dactylogyrosis (fish),gill fluke,disease specific
mh94,dactylogyrosis (fish),dactylogyrosis,disease specific
ag421,dactylogyrus spp.,NA,pathogen
ag84,damalinia bovis,NA,pathogen
ma228,deformed wing virus,NA,disease group
mh490,deformed wing virus (bee),deformed win virus,disease specific
mh490,deformed wing virus (bee),deformed wing virus,disease specific
mh490,deformed wing virus (bee),dwc,disease specific
ag27,demodex bovis,NA,pathogen
ag147,demodex cuniculi,NA,pathogen
ma19,demodicosis,NA,disease group
mh95,demodicosis (cattle),demodicosis,disease specific
mh96,demodicosis (rabbit),demodicosis,disease specific
ag731,dermanyssus gallinae,NA,pathogen
ma20,dermatophilosis,NA,disease group
mh99,dermatophilosis (cattle),dermatophilosis,disease specific
mh99,dermatophilosis (cattle),strawberry footrot,disease specific
mh99,dermatophilosis (cattle),cutaneous streptothricosis,disease specific
mh99,dermatophilosis (cattle),dermatophilus infection,disease specific
mh99,dermatophilosis (cattle),lumpy wool,disease specific
mh100,dermatophilosis (equidae),dermatophilosis,disease specific
mh98,"dermatophilosis (sheep, goat)",dermatophilosis,disease specific
mh98,"dermatophilosis (sheep, goat)",strawberry footrot,disease specific
mh98,"dermatophilosis (sheep, goat)",lumpy wool,disease specific
ag28,dermatophilus congolensis,NA,pathogen
ma21,dermatophytosis,NA,disease group
mh101,dermatophytosis (cattle),dermatophytosis,disease specific
mh102,dermatophytosis (equidae),scabs,disease specific
mh102,dermatophytosis (equidae),ringworm,disease specific
mh102,dermatophytosis (equidae),dermatophytosis,disease specific
mh430,dermatophytosis (swine),dermatophytosis,disease specific
ma340,dermocystidiosis,NA,disease group
mh104,dermocystidiosis (fish),dermocystidiosis,disease specific
ag422,dermocystidium spp.,NA,pathogen
ag203,dichelobacter nodosus,NA,pathogen
dicistrovirus,dicistrovirus,NA,NA
ma160,dicrocoeliasis,NA,disease group
mh108,"dicrocoeliasis (sheep, goat)",dicrocoeliasis,disease specific
mh108,"dicrocoeliasis (sheep, goat)",fluke,disease specific
ag205,dicrocoelium dendriticum,NA,pathogen
ag149,dicrocoelium lanceolatum,NA,pathogen
ma161,dictyocaulosis,NA,disease group
mh43,"dictyocaulosis (sheep, goat)",lungworm infection,disease specific
mh43,"dictyocaulosis (sheep, goat)",dictyocaulosis,disease specific
ag206,"dictyocaulosis (sheep, goat)",NA,pathogen
ag472,dictyuchus spp.,NA,pathogen
mh268,digital dermatitis (cattle),italian foot rot,disease specific
mh268,digital dermatitis (cattle),digital dermatitis,disease specific
mh268,digital dermatitis (cattle),mortellaro’s disease,disease specific
dinoflagellé,dinoflagellé,NA,NA
ma362,dioctophymosis,NA,disease group
mh109,dioctophymosis (fish),dioctophymosis,disease specific
ma341,diphyllobothriosis,NA,disease group
mh110,diphyllobothriosis (fish),diphyllobothriosis,disease specific
ag423,diphyllobothrium latum,NA,pathogen
ag424,diphyllobothrium spp.,NA,pathogen
ma342,diplostomosis,NA,disease group
mh111,diplostomosis (fish),diplostomosis,disease specific
ag426,diplostomum spathaceum,NA,pathogen
ag425,diplostomum spp.,NA,pathogen
ag427,diplozoon paradoxus,NA,pathogen
ma343,diplozoosis,NA,disease group
mh112,diplozoosis (fish),diplozoosis,disease specific
diptere,diptere,NA,NA
disease,disease,NA,NA
ma86,dourine,NA,disease group
mh113,dourine (equidae),dourine,disease specific
ag723,duck hepatitis virus,dhv,pathogen
ma432,duck viral enteritis,NA,disease group
mh563,duck viral enteritis (poultry),duck plague,disease specific
mh563,duck viral enteritis (poultry),dve,disease specific
mh563,duck viral enteritis (poultry),peste du canard,disease specific
mh563,duck viral enteritis (poultry),eendenpest,disease specific
mh563,duck viral enteritis (poultry),duck viral enteritis,disease specific
mh563,duck viral enteritis (poultry),anatid herpes,disease specific
mh563,duck viral enteritis (poultry),entenpest,disease specific
ma414,duck viral hepatitis,NA,disease group
mh540,duck viral hepatitis (poultry),duck viral hepatitis,disease specific
ag287,dwv,NA,pathogen
ma91,eastern equine encephalitis,NA,disease group
mh124,eastern equine encephalitis (equidae),eastern equine encephalitis,disease specific
mh124,eastern equine encephalitis (equidae),eastern type,disease specific
mh124,eastern equine encephalitis (equidae),viral encephalomyelitis,disease specific
ma122,echinococcosis,NA,disease group
mh117,echinococcosis (equidae),echinococcosis,disease specific
mh117,echinococcosis (equidae),cystic echinococcosis larvae,disease specific
mh117,echinococcosis (equidae),hydatidosis,disease specific
mh117,echinococcosis (equidae),hydatic disease cyst,disease specific
mh115,echinococcosis (rabbit),echinococcosis,disease specific
mh118,echinococcosis (swine),echinococcosis,disease specific
mh116,"echinococcosus (sheep, goat)",echinococcosus,disease specific
ag150,echinococcus granulosus,NA,pathogen
ag207,echinococcus multilocularis,NA,pathogen
ag208,echinococcus oligarthrus,NA,pathogen
ag209,echinococcus vogeli,NA,pathogen
ag401,echinorhynchus spp.,NA,pathogen
ag536,echinuria uncinata,NA,pathogen
ma256,edema disease in pigs,NA,disease group
mh265,edema disease in pigs (swine),edema disease in pigs,disease specific
mh265,edema disease in pigs (swine),escherichia coli enterotoxemia,disease specific
ag762,eds 76 virus,edsv,pathogen
ag358,edwardsiella ictaluri,esc,pathogen
ag356,edwardsiella tarda,NA,pathogen
ma427,egg drop syndrome '76,NA,disease group
mh556,egg drop syndrome '76 (poultry),egg drop syndrome '76,disease specific
ag288,egypt bee virus,ebv,pathogen
ma229,egypt bee virus,NA,disease group
mh491,egypt bee virus (bee),egypt bee virus,disease specific
mh491,egypt bee virus (bee),ebv,disease specific
ag23,ehrlichia ruminantium,NA,pathogen
ag415,eimeria,NA,pathogen
ag21,eimeria bovis,NA,pathogen
ag199,eimeria crandallis,NA,pathogen
ag139,eimeria flavescens,NA,pathogen
ag140,eimeria intestinalis,NA,pathogen
ag136,eimeria magna,NA,pathogen
ag137,eimeria media,NA,pathogen
ag200,eimeria ovina,NA,pathogen
ag198,eimeria ovinoidalis,NA,pathogen
ag201,eimeria ovinoidalis arloingi,NA,pathogen
ag202,eimeria ovinoidalis ninakohlyakimovae…,NA,pathogen
ag138,eimeria perforans,NA,pathogen
ag514,eimeria spp.,NA,pathogen
ag141,eimeria stiedai,NA,pathogen
ag515,eimeria truncata,NA,pathogen
ag20,eimeria zuernii,NA,pathogen
ma301,emphysematous putrefactive disease of catfish,NA,disease group
mh121,emphysematous putrefactive disease of catfish (fish),emphysematous putrefactive disease of catfish,disease specific
ag151,encephalitozoon cuniculi,NA,pathogen
ma123,encephalitozoonosis,NA,disease group
mh130,encephalitozoonosis (rabbit),nosematosis,disease specific
mh130,encephalitozoonosis (rabbit),encephalitozoonosis,disease specific
mh130,encephalitozoonosis (rabbit),zoonotic encephalitis,disease specific
ag335,encephalopathy and retinopathy virus,nervous necrosis virus,pathogen
ag335,encephalopathy and retinopathy virus,nnv,pathogen
ag335,encephalopathy and retinopathy virus,erv,pathogen
ma238,enteric colibacillosis,NA,disease group
mh135,enteric colibacillosis (swine),enteric colibacillosis,disease specific
ma326,enteric redmouth disease,NA,disease group
mh495,enteric redmouth disease (fish),erm,disease specific
mh495,enteric redmouth disease (fish),enteric redmouth disease,disease specific
mh495,enteric redmouth disease (fish),redmouth disease,disease specific
ma303,enteric septicemia of catfish,NA,disease group
mh145,enteric septicemia of catfish (fish),enteric septicemia of catfish,disease specific
ma126,entero thyphlitis,NA,disease group
mh150,entero thyphlitis (rabbit),entero thyphlitis,disease specific
ag54,enterohaemorrhagic escherichia coli,NA,pathogen
ma39,enterohemorrhagic e. coli pathogenesis.,NA,disease group
mh222,enterohemorrhagic e. coli pathogenesis. (cattle),ehec,disease specific
mh222,enterohemorrhagic e. coli pathogenesis. (cattle),enterohemorrhagic e. coli pathogenesis.,disease specific
ag428,enteromyxum leei,NA,pathogen
ma344,enteromyxum leei infection,NA,disease group
mh142,enteromyxum leei infection (fish),enteromyxum leei infection,disease specific
mh146,enterotoxemia (rabbit),enterotoxemia,disease specific
mh146,enterotoxemia (rabbit),dysbacterial caecale syndrome,disease specific
mh147,"enterotoxemia (sheep, goat)",enterotoxemia,disease specific
mh147,"enterotoxemia (sheep, goat)",pulpy kidney disease,disease specific
ma167,enterotoxemia in adult,NA,disease group
mh148,"enterotoxemia in adult (sheep, goat)",enterotoxemia in adult,disease specific
ma27,enterotoxemias,NA,disease group
mh149,enterotoxemias (cattle),enterotoxemias,disease specific
ma144,enzootic nasal adenocarcimona,NA,disease group
mh7,"enzootic nasal adenocarcimona (sheep, goat)",sinus cancer,disease specific
mh7,"enzootic nasal adenocarcimona (sheep, goat)",enzootic nasal adenocarcimona,disease specific
ag179,enzootic nasal tumor virus,entv,pathogen
ma192,enzootic pneumonia,NA,disease group
mh366,"enzootic pneumonia (sheep, goat)",enzootic pneumonia,disease specific
mh366,"enzootic pneumonia (sheep, goat)",respiratory pasteurellosis,disease specific
ag303,eperythrozoon suis,NA,pathogen
ma169,eperythrozoonose,NA,disease group
mh152,eperythrozoonose (swine),eperythrozoonose,disease specific
mh151,"eperythrozoonosis (sheep, goat)",eperythrozoonosis,disease specific
ma125,epizootic enterocolitis in rabbits,NA,disease group
mh143,epizootic enterocolitis in rabbits (rabbit),ree,disease specific
mh143,epizootic enterocolitis in rabbits (rabbit),epizootic enterocolitis in rabbits,disease specific
ma289,epizootic haematopoietic necrosis,NA,disease group
mh311,epizootic haematopoietic necrosis (fish),epizootic haematopoietic necrosis,disease specific
mh311,epizootic haematopoietic necrosis (fish),ehn,disease specific
ag344,epizootic haematopoietic necrosis virus,ehnv,pathogen
ma99,epizootic lymphangite,NA,disease group
mh254,epizootic lymphangite (equidae),epizootic lymphangite,disease specific
ma370,epizootic ulcerative syndrome,NA,disease group
mh427,epizootic ulcerative syndrome (fish),epizootic ulcerative syndrome,disease specific
mh427,epizootic ulcerative syndrome (fish),red spot disease,disease specific
mh427,epizootic ulcerative syndrome (fish),eus,disease specific
ma412,epomidiostomosis,NA,disease group
mh537,epomidiostomosis (poultry),epomidiostomosis,disease specific
ag525,epomidiostomum uncinatum,NA,pathogen
equin,equidae,NA,NA
ma101,equine contagious mastitis,NA,disease group
mh292,equine contagious mastitis (equidae),equine contagious mastitis,disease specific
ag123,equine herpes virus,NA,pathogen
ma84,equine infectious anemia,NA,disease group
mh17,equine infectious anemia (equidae),eia,disease specific
mh17,equine infectious anemia (equidae),equine infectious  anemia,disease specific
mh17,equine infectious anemia (equidae),equine infectious anemia,disease specific
ag99,equine infectious anemia virus,eiav,pathogen
ma96,equine influenza,NA,disease group
mh199,equine influenza (equidae),equine influenza,disease specific
ma105,equine piroplasmosis,NA,disease group
mh357,equine piroplasmosis (equidae),equine piroplasmosis,disease specific
mh357,equine piroplasmosis (equidae),theileriosis,disease specific
mh357,equine piroplasmosis (equidae),babesiosis,disease specific
mh348,equine plague (equidae),equine plague,disease specific
ma103,equine protozoal myeloencephalitis,NA,disease group
mh300,equine protozoal myeloencephalitis (equidae),equine protozoal myeloencephalitis,disease specific
mh300,equine protozoal myeloencephalitis (equidae),epm,disease specific
ma108,equine sarcoid,NA,disease group
mh394,equine sarcoid (equidae),equine sarcoid,disease specific
ma93,equine scabies,NA,disease group
mh186,equine scabies (equidae),equine scabies,disease specific
ma113,equine smallpox,NA,disease group
mh474,equine smallpox (equidae),equine smallpox,disease specific
ma85,equine viral arthritis,NA,disease group
mh24,equine viral arthritis (equidae),equine viral arthritis,disease specific
mh24,equine viral arthritis (equidae),equine viral arthritis,disease specific
mh24,equine viral arthritis (equidae),eva,disease specific
ag100,equine viral arthritis virus,NA,pathogen
ma107,equine viral rhinopneumonitis,NA,disease group
mh384,equine viral rhinopneumonitis (equidae),equine viral rhinopneumonitis,disease specific
ma337,ergasilosis,NA,disease group
mh156,"ergasilosis (fish, crustacean)",ergasilosis,disease specific
ag417,ergasilus spp.,NA,pathogen
ag215,ergotamine,NA,pathogen
ma171,ergotism,NA,disease group
mh157,"ergotism (sheep, goat)",ergotism,disease specific
ma437,erysipelas,NA,disease group
mh568,erysipelas (poultry),erysipelas,disease specific
ag188,erysipelothrix rhusiopathiae,insidiosa,pathogen
ag343,erythrocytic necrosis virus,env,pathogen
ag143,escherichia coli,NA,pathogen
mh290,eubacterial meningitis (fish),eubacterial meningitis,disease specific
ag368,eubacterium tarantellus,NA,pathogen
eumycetes_ascomycetes,eumycetes_ascomycetes,NA,NA
ma216,european fool brood,NA,disease group
mh250,european fool brood (bee),european fool brood,disease specific
mh250,european fool brood (bee),efb,disease specific
ag463,eustrongylides spp.,NA,pathogen
ag448,exophiala salmonis,NA,pathogen
ma249,exudative epidermitis,NA,disease group
mh153,exudative epidermitis (swine),greasy pig disease,disease specific
mh153,exudative epidermitis (swine),seborrhoic eczema,disease specific
mh153,exudative epidermitis (swine),exudative epidermitis,disease specific
mh153,exudative epidermitis (swine),impetigo contagiosa suis,disease specific
mh444,"eyeworms (sheep, goat)",eyeworms,disease specific
ma164,facial eczema,NA,disease group
mh120,"facial eczema (sheep, goat)",facial eczema,disease specific
ma54,facultative myiasis producing flies,NA,disease group
mh304,"facultative myiasis producing flies (sheep, goat)",facultative myiasis producing flies,disease specific
ma121,fasciola,NA,disease group
mh160,"fasciola (sheep, goat)",fluke worm,disease specific
mh160,"fasciola (sheep, goat)",fasciola,disease specific
ag148,fasciola hepatica,NA,pathogen
mh159,fascioliasis (rabbit),dicrocoeliasis,disease specific
mh159,fascioliasis (rabbit),fluke,disease specific
mh159,fascioliasis (rabbit),fascioliasis,disease specific
poisson,fish,NA,NA
ma330,fish lice,NA,disease group
mh23,fish lice (fish),fish lice,disease specific
ma375,fish-borne trematodosis,NA,disease group
mh453,fish-borne trematodosis (fish),fish-borne trematodosis,disease specific
flagelle,flagelle,NA,NA
ma308,flavobacteria infection,NA,disease group
mh225,flavobacteria infection (fish),flavobacteria infection,disease specific
ma319,flavobacteriosis,NA,disease group
mh431,flavobacteriosis (fish),flavobacteriosis,disease specific
ag360,flavobacterium branchiophilum,NA,pathogen
ag355,flavobacterium columnare,NA,pathogen
ag363,flavobacterium johnsoniae,NA,pathogen
ag717,flavobacterium johnsoniae,NA,pathogen
ag361,flavobacterium psychrophilum,NA,pathogen
ma198,fleece rot,NA,disease group
mh373,"fleece rot (sheep, goat)",fleece rot,disease specific
mh162,foot and mouth disease (cattle),foot and mouth disease,disease specific
mh162,foot and mouth disease (cattle),fmd,disease specific
mh163,"foot and mouth disease (sheep, goat)",foot and mouth disease,disease specific
ma28,foot-and-mouth disease,NA,disease group
mh164,foot-and-mouth disease (swine),foot-and-mouth disease,disease specific
mh164,foot-and-mouth disease (swine),fmd,disease specific
ag38,foot-and-mouth disease virus,fmd virus,pathogen
ag38,foot-and-mouth disease virus,fmdv,pathogen
ma158,footrot,NA,disease group
mh356,"footrot (sheep, goat)",footrot,disease specific
mh356,"footrot (sheep, goat)",interdigital dermatitis,disease specific
mh356,"footrot (sheep, goat)",contagious digited dermatitis,disease specific
ma402,fowl cholera,NA,disease group
mh520,fowl cholera (poultry),pasteurellosis,disease specific
mh520,fowl cholera (poultry),fowl cholera,disease specific
ma447,fowl typhoid,NA,disease group
mh584,fowl typhoid (poultry),fowl typhoid,disease specific
ma448,fowlpox,NA,disease group
mh585,fowlpox (poultry),fowlpox,disease specific
ma309,francisella infection,NA,disease group
mh226,francisella infection (fish),francisella infection,disease specific
ag365,francisella spp.,NA,pathogen
ag177,francisella tularensis,NA,pathogen
ma332,fungal disease,NA,disease group
mh42,fungal disease (fish),fungal disease,disease specific
ma392,furunculosis,NA,disease group
ma307,furunculosis,NA,disease group
mh180,furunculosis (fish),furunculosis,disease specific
mh179,furunculosis (fish),furunculosis,disease specific
ma173,fusariotoxicosis,NA,disease group
ma419,fusariotoxicosis,NA,disease group
mh547,fusariotoxicosis (poultry),fusariotoxicosis,disease specific
mh181,"fusariotoxicosis (sheep, goat)",fusariotoxicosis,disease specific
mh182,fusariotoxicosis (swine),fusariotoxicosis,disease specific
ag216,fusariotoxin,NA,pathogen
ag452,fusarium,NA,pathogen
ag729,fusarium,NA,pathogen
ma190,fusarium oestrogenism,NA,disease group
mh324,"fusarium oestrogenism (sheep, goat)",fusarium oestrogenism,disease specific
ag73,fusobacterium necrophorum,NA,pathogen
ma327,gaffkemia,NA,disease group
mh183,gaffkemia (crustacean),gaffkemia,disease specific
mh183,gaffkemia (crustacean),red-tail disease,disease specific
ag267,galerria mellonella,NA,pathogen
mh78,gangrenous coryza (swine),gangrenous coryza,disease specific
mh78,gangrenous coryza (swine),malignant catarrhal fever,disease specific
ma34,gangrenous coryzae,NA,disease group
mh191,"gangrenous coryzae (sheep, goat)",malignant  edema,disease specific
mh191,"gangrenous coryzae (sheep, goat)",gangrenous coryzae,disease specific
ma407,gangrenous dermatitis,NA,disease group
mh529,gangrenous dermatitis (poultry),clostridial dermatitis,disease specific
mh529,gangrenous dermatitis (poultry),gangrenous dermatomyositis,disease specific
mh529,gangrenous dermatitis (poultry),gangrenous dermatitis,disease specific
mh529,gangrenous dermatitis (poultry),gas edema disease,disease specific
ma52,gangrenous mastitis,NA,disease group
mh281,gangrenous mastitis (cattle),gangrenous mastitis,disease specific
mh282,"gangrenous mastitis (sheep, goat)",gangrenous mastitis,disease specific
ag110,giardia duodenalis,NA,pathogen
ma94,giardiasis,NA,disease group
mh196,giardiasis (equidae),giardiasis,disease specific
mh195,giardiasis (rabbit),lambliasis,disease specific
mh195,giardiasis (rabbit),lambliosis,disease specific
mh195,giardiasis (rabbit),giardiasis,disease specific
ma305,gill disease,NA,disease group
mh175,gill disease (fish),gill disease,disease specific
ma304,gill epitheliocystis,NA,disease group
mh155,gill epitheliocystis (fish),gill epitheliocystis,disease specific
ma254,glässer's disease,NA,disease group
mh262,glässer's disease (swine),porcine polyserositis,disease specific
mh262,glässer's disease (swine),infectious polyarthritis,disease specific
mh262,glässer's disease (swine),glässer's disease,disease specific
ma102,glanders,NA,disease group
mh295,glanders (equidae),glanders,disease specific
ag464,gnathostoma,NA,pathogen
caprin,goat,NA,NA
ag197,goat pox virus,gpv,pathogen
ag722,goose hemorrhagic polyomavirus,ghpv,pathogen
ag734,goose parvovirus,gpv,pathogen
ma430,goose parvovirus infection,NA,disease group
ma423,goose parvovirus infection,NA,disease group
mh552,goose parvovirus infection (poultry),derzsy disease,disease specific
mh552,goose parvovirus infection (poultry),goose parvovirus infection,disease specific
mh552,goose parvovirus infection (poultry),goose plague,disease specific
mh552,goose parvovirus infection (poultry),goose hepatitis,disease specific
mh561,goose parvovirus infection (poultry),hneg,disease specific
mh561,goose parvovirus infection (poultry),goose parvovirus infection,disease specific
ag713,goussia,NA,pathogen
ma318,granulomatous disease,NA,disease group
mh386,granulomatous disease (fish),granulomatous disease,disease specific
ma127,graphidiosis,NA,disease group
mh198,graphidiosis (rabbit),graphidiosis,disease specific
ag153,graphidium strigosum,NA,pathogen
ma345,gyrodactylosis,NA,disease group
mh201,gyrodactylosis (fish),gyrodactylosis,disease specific
ag430,gyrodactylus salaris,NA,pathogen
ag429,gyrodactylus spp.,NA,pathogen
ag161,haemadipsus ventricosus,NA,pathogen
ag750,haematopinus eurysternus,NA,pathogen
ag433,haemogregarina,NA,pathogen
ma347,haemogregarine infection,NA,disease group
mh206,haemogregarine infection (fish),haemogregarine infection,disease specific
ag251,haemonchus contortus,NA,pathogen
ag309,haemophilus parasuis,NA,pathogen
ma166,haemorragic necrotic lamb enteritis,NA,disease group
mh139,"haemorragic necrotic lamb enteritis (sheep, goat)",haemorragic necrotic lamb enteritis,disease specific
ag481,haplorchis spp.,NA,pathogen
haplosporidie,haplosporidie,NA,NA
ma378,haplosporidiosis,NA,disease group
mh202,haplosporidiosis (mollusc),haplosporidiosis,disease specific
ag487,haplosporidium nelsoni,NA,pathogen
ma16,heartwater,NA,disease group
mh81,heartwater (cattle),heartwater,disease specific
mh81,heartwater (cattle),cowdriosis,disease specific
ma441,helicopter disease,NA,disease group
mh576,helicopter disease (poultry),helicopter disease,disease specific
ma415,helminthiasis,NA,disease group
ma406,helminthiasis,NA,disease group
mh541,helminthiasis (poultry),helminthiasis,disease specific
mh528,helminthiasis (poultry),nematode infection,disease specific
mh528,helminthiasis (poultry),helminthiasis,disease specific
mh528,helminthiasis (poultry),cestode infection,disease specific
ag311,hemolytic escherichia coli,NA,pathogen
ma69,hemorrhagic septicemia,NA,disease group
mh399,hemorrhagic septicemia (cattle),hs,disease specific
mh399,hemorrhagic septicemia (cattle),hemorrhagic septicemia,disease specific
ag122,hendra virus,NA,pathogen
ma106,hendra virus pneumonia,NA,disease group
mh604,hendra virus pneumonia (equidae),equine morbillivirus pneumonia,disease specific
mh604,hendra virus pneumonia (equidae),hendra virus pneumonia,disease specific
mh604,hendra virus pneumonia (equidae),acute equine respiratory syndrom,disease specific
ag434,henneguya ictaluri,NA,pathogen
herpèsvirus_probable,herpèsvirus_probable,NA,NA
herpesvirus,herpesvirus,NA,NA
ag297,herpesvirus,NA,pathogen
ag530,heterakis dispar,NA,pathogen
ag529,heterakis gallinarium,NA,pathogen
ag444,hexabothriidae,NA,pathogen
ag531,hexamita meleagridis,NA,pathogen
ag436,hexamita spp.,NA,pathogen
mh543,hexamitiasis (poultry),hexamitiasis,disease specific
ma349,hexamitosis,NA,disease group
mh215,hexamitosis (fish),hexamitosis,disease specific
ma350,hirudinosis,NA,disease group
mh216,hirudinosis (fish),hirudinosis,disease specific
ag726,histomonas meleagridis,NA,pathogen
ma450,histomoniasis,NA,disease group
mh544,histomoniasis (poultry),blackhead,disease specific
mh544,histomoniasis (poultry),histomoniasis,disease specific
mh544,histomoniasis (poultry),infectious enterohepatitis,disease specific
ma38,histophilosis,NA,disease group
mh223,histophilosis (cattle),histophilosis,disease specific
mh223,histophilosis (cattle),histophilus somni–associated disease,disease specific
ag53,histophilus somni,NA,pathogen
ag114,histoplasma capsulatum var farciminosum,NA,pathogen
ag130,horsepox virus,hspv,pathogen
hymenoptere,hymenoptere,NA,NA
ag51,hypoderma lineatum,NA,pathogen
ag462,hysterothylacium spp.,NA,pathogen
ag439,ichthyobodo necatrix,NA,pathogen
ma351,ichthyobodosis,NA,disease group
mh218,ichthyobodosis (fish),ichthyobodosis,disease specific
ma352,ichthyophonosis,NA,disease group
mh219,ichthyophonosis (fish),ichthyophonosis,disease specific
ag440,ichthyophonus spp.,NA,pathogen
ma353,ichthyophthiriosis,NA,disease group
mh220,ichthyophthiriosis (fish),ichthyophthiriosis,disease specific
ag441,ichthyophthirius multifiliis,NA,pathogen
ag337,"ictalurid herpesvirus 1 (ichv-1), anciennement channel catfish virus (ccv)",NA,pathogen
ma413,inclusion body hepatitis,NA,disease group
mh538,inclusion body hepatitis (poultry),inclusion body hepatitis,disease specific
mh538,inclusion body hepatitis (poultry),hepatitis hydropericardium,disease specific
mh538,inclusion body hepatitis (poultry),hydropericardium syndrome in poultry,disease specific
ma67,infectious bovine rhinotracheitis,NA,disease group
mh385,infectious bovine rhinotracheitis (cattle),ibr,disease specific
mh385,infectious bovine rhinotracheitis (cattle),infectious bovine rhinotracheitis,disease specific
ag80,infectious bovine rhinotracheitis virus,NA,pathogen
ag509,infectious bronchitis virus,avian infectious bronchitis virus,pathogen
ag509,infectious bronchitis virus,ibv,pathogen
ma400,infectious bursal disease,NA,disease group
mh514,infectious bursal disease (poultry),gumboro disease,disease specific
mh514,infectious bursal disease (poultry),infectious bursal disease,disease specific
ag719,infectious bursal disease virus,NA,pathogen
ma405,infectious coryza,NA,disease group
mh525,infectious coryza (poultry),infectious coryza,disease specific
ma290,infectious haematopoietic necrosis,NA,disease group
mh312,infectious haematopoietic necrosis (fish),infectious haematopoietic necrosis,disease specific
mh312,infectious haematopoietic necrosis (fish),ihn,disease specific
ag498,infectious hypodermal and haematopoietic necrosis virus,ihhnv,pathogen
ma388,infectious hypodermal and hematopoietic necrosis ihhn,NA,disease group
mh313,infectious hypodermal and hematopoietic necrosis ihhn (crustacean),ihhn,disease specific
mh313,infectious hypodermal and hematopoietic necrosis ihhn (crustacean),infectious hypodermal and hematopoietic necrosis ihhn,disease specific
ma41,infectious keratoconjunctivitis,NA,disease group
mh232,infectious keratoconjunctivitis (cattle),infectious ophthalmia,disease specific
mh232,infectious keratoconjunctivitis (cattle),pinkeye,disease specific
mh232,infectious keratoconjunctivitis (cattle),pink eye,disease specific
mh232,infectious keratoconjunctivitis (cattle),infectious keratoconjunctivitis,disease specific
mh233,"infectious keratoconjunctivitis (sheep, goat)",ovine keratoconjunctivitis,disease specific
mh233,"infectious keratoconjunctivitis (sheep, goat)",infectious keratoconjunctivitis,disease specific
mh233,"infectious keratoconjunctivitis (sheep, goat)",granular ovine keratoconjunctivitis,disease specific
ag534,infectious laryngotracheitis virus,ilv,pathogen
ag534,infectious laryngotracheitis virus,gallid herpesvirus i,pathogen
ma36,infectious necrotic hepatitis,NA,disease group
mh208,infectious necrotic hepatitis (cattle),infectious necrotic hepatitis,disease specific
mh208,infectious necrotic hepatitis (cattle),black disease,disease specific
mh208,infectious necrotic hepatitis (cattle),clostridium novyi infection,disease specific
ma291,infectious pancreatic necrosis,NA,disease group
mh314,infectious pancreatic necrosis (fish),ipn,disease specific
mh314,infectious pancreatic necrosis (fish),infectious pancreatic necrosis,disease specific
ag346,infectious pancreatic necrosis virus,ipnv,pathogen
ma83,infectious pustular vulvovaginitis,NA,disease group
mh471,infectious pustular vulvovaginitis (cattle),infectious pustular vulvovaginitis,disease specific
mh471,infectious pustular vulvovaginitis (cattle),jackal bite,disease specific
mh471,infectious pustular vulvovaginitis (cattle),gpvv,disease specific
ma279,infectious salmon anaemia,NA,disease group
mh18,infectious salmon anaemia (fish),isa,disease specific
